年月日,時刻コード,始値（円/kWh）,高値（円/kWh）,安値（円/kWh）,終値（円/kWh）,平均（円/kWh）,約定量合計（MWh/h）,約定件数
2026/04/01,1,20.10,22.61,8.52,9.48,16.72,602.1,140
2026/04/01,2,18.94,22.57,7.63,19.44,16.85,640.7,150
2026/04/01,3,16.50,18.60,8.78,14.83,15.20,1138.6,186
2026/04/01,4,16.50,19.45,8.28,15.55,15.51,1692.5,237
2026/04/01,5,16.50,20.07,8.53,16.17,15.71,1532.5,227
2026/04/01,6,16.50,21.93,8.53,15.93,16.00,1504.5,247
2026/04/01,7,19.30,24.00,7.00,7.00,15.60,1240.5,231
2026/04/01,8,19.60,23.78,6.86,16.02,16.55,1411.9,255
2026/04/01,9,19.71,23.71,10.00,16.92,16.77,1248.6,266
2026/04/01,10,19.80,23.91,10.00,16.97,17.02,1252.0,278
2026/04/01,11,20.53,21.53,9.50,17.09,16.61,1239.8,261
2026/04/01,12,20.70,21.80,7.00,12.21,15.62,1154.6,247
2026/04/01,13,21.04,21.04,6.86,18.49,16.04,1201.9,276
2026/04/01,14,20.72,21.01,9.50,16.08,16.67,1113.6,300
2026/04/01,15,20.00,20.00,9.50,18.88,16.21,1494.8,326
2026/04/01,16,19.60,20.58,7.49,19.71,15.85,1375.1,324
2026/04/01,17,16.00,25.13,9.02,24.90,17.75,1673.1,339
2026/04/01,18,11.91,32.40,9.01,23.48,19.54,1847.2,304
2026/04/01,19,22.76,23.06,7.64,7.79,15.15,2913.6,452
2026/04/01,20,9.90,23.39,9.00,9.11,16.44,2498.2,444
2026/04/01,21,7.91,25.01,7.49,10.90,18.13,2372.3,421
2026/04/01,22,7.91,25.01,6.00,11.34,18.64,2216.1,435
2026/04/01,23,7.91,31.22,6.00,13.50,20.32,2388.7,464
2026/04/01,24,7.73,35.40,5.80,24.91,21.12,2199.4,425
2026/04/01,25,7.91,30.00,6.00,11.99,19.26,1998.6,433
2026/04/01,26,30.22,31.22,6.78,8.77,19.71,2021.7,438
2026/04/01,27,40.00,44.70,6.70,11.76,29.46,2375.6,446
2026/04/01,28,39.70,45.40,7.00,16.30,30.97,2535.8,479
2026/04/01,29,39.70,43.51,10.00,14.63,30.73,2472.2,466
2026/04/01,30,39.70,42.62,7.55,11.00,31.31,2356.1,458
2026/04/01,31,39.70,42.89,6.73,15.41,28.81,2222.9,454
2026/04/01,32,32.00,32.00,6.76,15.01,22.80,2009.9,463
2026/04/01,33,32.58,32.58,7.51,15.00,22.67,1565.0,408
2026/04/01,34,35.83,35.83,6.78,35.83,25.19,1545.9,416
2026/04/01,35,32.00,32.11,6.76,26.50,24.42,1270.5,414
2026/04/01,36,39.70,43.44,6.00,14.55,29.34,1784.3,458
2026/04/01,37,38.00,39.60,5.85,21.50,28.86,1671.0,408
2026/04/01,38,38.00,38.54,5.83,27.95,30.14,1695.2,398
2026/04/01,39,31.70,31.90,10.05,31.90,26.62,1346.9,390
2026/04/01,40,31.03,31.03,7.58,25.07,25.15,1232.8,393
2026/04/01,41,23.61,24.01,7.64,18.28,21.72,1183.4,424
2026/04/01,42,23.80,24.38,7.64,24.32,21.71,1135.2,393
2026/04/01,43,23.50,23.55,7.62,20.30,18.92,2028.2,506
2026/04/01,44,22.10,22.28,7.91,22.18,19.00,1742.7,413
2026/04/01,45,21.40,21.50,6.00,18.49,18.44,1539.6,431
2026/04/01,46,21.20,21.37,7.60,16.22,16.91,1602.3,397
2026/04/01,47,21.10,21.40,10.53,17.25,17.85,1488.3,415
2026/04/01,48,20.85,20.95,8.80,16.51,17.05,1357.8,382
2026/04/02,1,21.47,22.07,0.01,11.29,15.22,821.7,156
2026/04/02,2,19.92,24.12,8.29,9.36,17.20,691.0,141
2026/04/02,3,19.67,39.08,8.89,19.78,21.90,538.8,128
2026/04/02,4,19.56,39.89,9.01,18.99,19.02,716.7,147
2026/04/02,5,18.33,39.90,0.11,16.94,17.29,868.5,152
2026/04/02,6,19.53,40.17,10.40,18.14,17.96,866.2,157
2026/04/02,7,19.71,40.25,10.30,19.82,20.51,718.4,144
2026/04/02,8,19.61,41.87,10.30,18.30,21.02,734.0,148
2026/04/02,9,15.37,40.73,7.95,16.17,22.91,455.9,125
2026/04/02,10,20.25,39.04,7.82,17.89,20.98,579.8,154
2026/04/02,11,21.99,38.85,7.83,16.25,22.32,507.0,136
2026/04/02,12,21.98,40.28,7.80,22.69,23.54,510.8,126
2026/04/02,13,22.87,26.08,9.30,14.81,17.37,1401.0,223
2026/04/02,14,25.00,26.01,9.30,13.51,17.70,1519.0,260
2026/04/02,15,31.93,32.00,8.01,16.55,21.70,1050.8,238
2026/04/02,16,29.00,31.90,3.64,3.64,22.00,850.5,230
2026/04/02,17,47.00,47.00,6.84,31.51,24.28,1174.3,267
2026/04/02,18,31.00,31.90,6.88,25.03,20.50,754.8,249
2026/04/02,19,23.47,25.47,1.80,16.01,17.84,847.7,248
2026/04/02,20,23.88,25.18,0.01,16.00,17.71,1208.2,315
2026/04/02,21,23.11,23.52,0.01,6.23,13.49,767.8,260
2026/04/02,22,7.00,26.09,0.01,4.52,13.89,882.1,274
2026/04/02,23,3.00,22.70,0.01,13.50,10.53,794.6,267
2026/04/02,24,45.00,45.60,0.01,1.77,18.34,1258.5,316
2026/04/02,25,0.01,25.34,0.01,18.00,8.76,1312.5,340
2026/04/02,26,22.68,22.78,0.01,0.02,9.04,1161.1,308
2026/04/02,27,23.62,23.62,0.01,13.52,12.16,996.7,301
2026/04/02,28,23.32,23.32,0.01,9.00,12.35,1138.6,329
2026/04/02,29,10.00,23.41,0.01,16.01,10.32,1549.5,354
2026/04/02,30,22.01,22.51,0.01,2.00,10.69,1346.6,364
2026/04/02,31,1.80,21.89,0.01,21.82,13.41,941.5,354
2026/04/02,32,21.87,22.60,0.01,7.99,13.72,1317.4,393
2026/04/02,33,22.84,23.25,6.00,16.01,14.38,1372.0,356
2026/04/02,34,25.60,30.00,8.68,18.00,21.49,1261.2,372
2026/04/02,35,25.06,25.06,9.03,14.99,19.12,1121.2,348
2026/04/02,36,23.70,23.70,11.39,15.00,18.23,1454.8,385
2026/04/02,37,24.18,24.18,13.76,22.69,19.51,1627.9,353
2026/04/02,38,17.91,24.20,12.00,15.70,19.20,1714.5,361
2026/04/02,39,18.78,27.28,12.00,19.30,21.10,1771.2,369
2026/04/02,40,24.30,27.00,7.98,19.00,22.05,1422.0,348
2026/04/02,41,18.65,27.00,7.74,18.01,19.74,1500.3,389
2026/04/02,42,22.93,26.67,7.73,21.00,20.16,1455.9,377
2026/04/02,43,18.30,30.00,6.81,11.00,20.65,1440.1,354
2026/04/02,44,38.00,40.74,10.50,25.00,24.18,1589.6,350
2026/04/02,45,17.74,39.88,10.30,10.99,22.38,1740.6,322
2026/04/02,46,38.00,40.63,0.01,9.00,21.76,1641.8,301
2026/04/02,47,29.90,30.00,10.00,21.02,20.29,1555.1,340
2026/04/02,48,23.47,24.27,7.62,11.00,18.36,1387.3,327
2026/04/03,1,22.39,25.79,0.01,10.80,20.13,1211.9,196
2026/04/03,2,21.27,24.67,0.01,21.40,19.27,1023.2,161
2026/04/03,3,15.40,22.33,5.51,10.60,15.19,872.5,130
2026/04/03,4,20.85,24.25,6.93,18.01,18.83,974.3,140
2026/04/03,5,21.85,25.25,6.95,18.67,20.56,895.4,138
2026/04/03,6,22.57,24.07,6.95,20.01,18.26,809.6,148
2026/04/03,7,24.00,24.50,6.95,19.00,20.72,1057.3,157
2026/04/03,8,24.46,24.96,6.95,17.71,20.42,1072.7,169
2026/04/03,9,30.53,31.43,6.95,20.07,22.75,818.7,170
2026/04/03,10,9.41,32.46,6.95,19.01,22.86,838.8,182
2026/04/03,11,33.71,39.11,6.95,18.73,28.33,1132.7,213
2026/04/03,12,33.11,40.11,6.94,21.90,29.74,1495.0,243
2026/04/03,13,34.00,36.66,16.00,36.55,28.91,1124.9,241
2026/04/03,14,23.43,24.43,6.57,15.01,18.78,1109.4,196
2026/04/03,15,17.51,21.64,1.80,10.01,16.36,790.5,201
2026/04/03,16,1.00,20.24,0.02,6.01,13.70,811.5,201
2026/04/03,17,19.92,20.16,0.10,5.01,10.83,1209.7,225
2026/04/03,18,13.40,22.92,0.01,5.88,10.37,937.3,218
2026/04/03,19,10.00,10.06,0.01,7.65,8.14,1199.9,239
2026/04/03,20,2.05,24.55,0.01,0.21,7.19,1734.4,319
2026/04/03,21,11.40,18.92,0.01,8.00,5.31,1704.0,347
2026/04/03,22,0.01,13.10,0.01,0.20,4.86,1659.1,317
2026/04/03,23,0.01,7.40,0.01,0.20,2.66,1337.5,275
